archivo,clase,rms,zcr,centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1-100032-A-0.wav,dog,0.046422485,0.016477375361271675,271.3632334880035,-593.9576,5.861079,-10.620132,-5.3395963,-1.022086,-2.4639544,-0.36783254,1.0305774,1.0256339,0.5505362,-0.5951453,-0.30755457,-1.0747144
1-100038-A-14.wav,chirping_birds,0.06672368,0.2947751083815029,3838.1741873562246,-194.38033,4.7757497,-59.608597,2.5922868,-45.18249,-30.526796,-30.431871,-3.4805717,-39.68371,-15.606949,-16.062254,-23.392435,-10.755795
1-100210-A-36.wav,vacuum_cleaner,0.27513734,0.384793849349711,3450.3633295341033,14.135977,56.450745,-9.397255,15.059167,-13.379056,11.989853,2.1407738,6.606397,5.056573,-6.073941,-2.5318444,14.683382,0.732807
1-100210-B-36.wav,vacuum_cleaner,0.30320236,0.39673274927745666,3451.908874701344,27.624063,55.276123,-6.387282,13.670578,-9.576718,13.337535,3.4135258,3.7303708,6.995761,-7.1672983,3.494967,14.181134,2.4628367
1-101296-A-19.wav,thunderstorm,0.011771118,0.04515049223265896,1411.2395600747154,-419.7598,128.6152,39.610554,33.663074,-4.1545486,7.223074,-13.306364,3.8057582,-1.4303919,-9.173781,-10.9845705,2.3704362,-13.224168
1-101296-B-19.wav,thunderstorm,0.017921565,0.05167313945086705,1371.9438655045626,-399.0177,141.00626,35.359486,21.826023,-11.602017,8.054362,-9.43857,3.520185,-0.8679994,-8.170689,-7.5677257,2.8871748,-14.071512
1-101336-A-30.wav,door_wood_knock,0.11532827,0.016590272760115606,714.9437113598516,-395.77362,131.28618,18.109741,23.599121,7.864833,-4.5354843,0.020874023,8.247771,1.7026885,-2.9426997,-1.7862239,0.2428206,-2.8037395
1-101404-A-34.wav,can_opening,0.043742876,0.22643549042630057,4370.471083722253,-478.49005,6.375257,4.7112336,16.875317,1.6680555,12.397884,14.890233,13.639272,-3.4082222,8.342011,2.05838,5.77023,4.327585
1-103298-A-9.wav,crow,0.13442601,0.0657486226517341,2021.0313468425106,-126.3919,91.63606,7.2521796,21.082739,10.716609,37.477577,6.040655,12.157376,2.0005062,14.224053,5.5666986,4.1726007,4.510644
1-103995-A-30.wav,door_wood_knock,0.051148716,0.008179416546242775,308.37955953117535,-550.88635,49.398438,8.186488,4.023248,6.7171965,4.540613,4.4890914,4.0835238,0.77031773,3.3407571,2.4215052,2.619449,2.9677417
1-103999-A-30.wav,door_wood_knock,0.03101268,0.010555906791907514,301.4094351257546,-625.44464,48.805206,5.4560366,0.43401518,6.706344,5.888956,3.2022712,1.4936979,2.1254852,4.7576585,2.222487,2.192154,3.0374594
1-104089-A-22.wav,clapping,0.08030126,0.2477646315028902,3599.5529420598377,-92.77069,32.99359,-49.303413,-32.14372,-18.676874,-15.057379,-18.8058,-11.048946,-13.259074,-9.606693,-14.906989,-6.348003,-10.780329
1-104089-B-22.wav,clapping,0.09023283,0.2452695989884393,3537.7894477641503,-68.886795,35.141876,-51.77644,-34.448425,-14.322368,-10.624399,-22.90685,-12.951493,-13.685306,-9.81319,-17.203394,-5.8172035,-10.798575
1-105224-A-22.wav,clapping,0.21772006,0.14560942015895953,2198.160322918297,-5.9113307,89.09232,-83.42673,-27.807905,-20.171309,-7.2831206,-18.106638,-3.1425767,-9.215797,-7.548917,-12.120501,-5.5996075,-9.25149
1-110389-A-0.wav,dog,0.03870192,0.008588669617052022,201.0730808031445,-580.1683,12.789333,-3.7448518,-3.583799,-0.20478415,0.87216794,-1.5287843,0.11743534,-0.11248899,0.5214397,0.7703887,1.179157,2.0441937
1-110537-A-22.wav,clapping,0.42932364,0.16131344833815028,2543.416910764889,94.78087,81.899216,-53.447933,-11.378325,2.2845347,-0.2795598,-21.58618,2.6216679,-2.3489034,4.419936,-1.6679707,3.0166464,-5.9544144
1-115521-A-19.wav,thunderstorm,0.060077447,0.022156114523121388,406.7999237359542,-378.40457,173.96521,49.424145,3.0238128,18.577732,21.157257,4.4251065,-2.2971642,0.5048741,0.9395875,-0.035907988,-0.073982544,-1.2814085
1-115545-A-48.wav,fireworks,0.009187116,0.07615494039017341,1362.1291545618174,-442.32068,157.93742,-20.759659,14.392564,-4.6814623,2.256586,-5.9761357,3.5199072,-3.8612084,1.5959352,-1.137369,2.77424,-1.2636064
1-115545-B-48.wav,fireworks,0.027383404,0.06316891708815028,1195.5765321832423,-404.25162,138.16469,0.1826567,5.308756,-1.1393057,3.6590729,-3.6265364,1.9702796,-1.3803027,-0.0023271637,-0.82670724,2.4788506,0.1192455
1-115545-C-48.wav,fireworks,0.02949428,0.05007281882225433,961.8548823899523,-429.9872,156.89073,3.625954,-7.3901362,5.5761895,5.535828,-1.764966,0.16051222,0.8173071,0.34093952,0.77796346,3.9766302,2.9762015
1-115546-A-48.wav,fireworks,0.030768245,0.0389044436416185,829.6762734697245,-454.16803,165.02834,27.687014,-7.0772333,3.6531186,6.349282,-0.6183167,-3.8357196,-2.9917593,-1.7051979,0.20500827,1.8243647,1.8506258
